Dims, Number of particles, Analytic, Time step, Energy, Variance, Acceptance rate, Time spent
1,   1, OFF, 1.00e+00, 5.000000e-01, 1.200124e-14, 0.79, 6.80e-05
1,   1, OFF, 1.00e-01, 5.000000e-01, 7.324577e-15, 0.99, 5.70e-05
1,   1, OFF, 1.00e-02, 4.999999e-01, 2.515150e-15, 1.00, 5.70e-05
1,   1, ON , 1.00e+00, 5.000000e-01, 0.000000e+00, 0.79, 4.60e-05
1,   1, ON , 1.00e-01, 5.000000e-01, 0.000000e+00, 0.99, 4.60e-05
1,   1, ON , 1.00e-02, 5.000000e-01, 0.000000e+00, 1.00, 4.80e-05
1,  10, OFF, 1.00e+00, 5.000000e+00, 8.567668e-14, 0.79, 1.87e-03
1,  10, OFF, 1.00e-01, 5.000000e+00, 1.116008e-13, 0.99, 1.83e-03
1,  10, OFF, 1.00e-02, 4.999999e+00, 5.788522e-14, 1.00, 2.03e-03
1,  10, ON , 1.00e+00, 5.000000e+00, 1.356841e-31, 0.79, 5.59e-04
1,  10, ON , 1.00e-01, 5.000000e+00, 8.046381e-32, 0.99, 5.34e-04
1,  10, ON , 1.00e-02, 5.000000e+00, 1.735494e-31, 1.00, 5.18e-04
1, 100, OFF, 1.00e+00, 5.000000e+01, 9.927316e-13, 0.78, 8.18e-01
1, 100, OFF, 1.00e-01, 5.000000e+01, 1.161532e-12, 0.99, 7.99e-01
1, 100, OFF, 1.00e-02, 4.999999e+01, 3.082697e-12, 1.00, 7.73e-01
1, 100, ON , 1.00e+00, 5.000000e+01, 3.903662e-29, 0.78, 3.92e-02
1, 100, ON , 1.00e-01, 5.000000e+01, 3.738065e-29, 0.99, 3.21e-02
1, 100, ON , 1.00e-02, 5.000000e+01, 1.461753e-28, 1.00, 3.11e-02
1, 500, OFF, 1.00e+00, 2.500000e+02, 1.294711e-11, 0.78, 8.68e+01
1, 500, OFF, 1.00e-01, 2.500000e+02, 3.165400e-11, 0.99, 8.60e+01
1, 500, OFF, 1.00e-02, 2.500000e+02, 1.075666e-10, 1.00, 8.64e+01
1, 500, ON , 1.00e+00, 2.500000e+02, 3.030825e-27, 0.78, 7.99e-01
1, 500, ON , 1.00e-01, 2.500000e+02, 2.970128e-27, 0.99, 7.55e-01
1, 500, ON , 1.00e-02, 2.500000e+02, 1.643839e-26, 1.00, 7.41e-01
2,   1, OFF, 1.00e+00, 9.999999e-01, 1.973416e-14, 0.69, 7.30e-05
2,   1, OFF, 1.00e-01, 9.999999e-01, 9.885133e-15, 0.99, 7.20e-05
2,   1, OFF, 1.00e-02, 9.999998e-01, 2.693806e-15, 1.00, 7.30e-05
2,   1, ON , 1.00e+00, 1.000000e+00, 0.000000e+00, 0.69, 5.30e-05
2,   1, ON , 1.00e-01, 1.000000e+00, 0.000000e+00, 0.99, 5.10e-05
2,   1, ON , 1.00e-02, 1.000000e+00, 0.000000e+00, 1.00, 1.10e-04
2,  10, OFF, 1.00e+00, 9.999999e+00, 1.870478e-13, 0.67, 3.62e-03
2,  10, OFF, 1.00e-01, 1.000000e+01, 3.084756e-13, 0.99, 3.57e-03
2,  10, OFF, 1.00e-02, 9.999999e+00, 5.122561e-13, 1.00, 3.56e-03
2,  10, ON , 1.00e+00, 1.000000e+01, 2.303474e-31, 0.67, 6.67e-04
2,  10, ON , 1.00e-01, 1.000000e+01, 3.186998e-31, 0.99, 6.30e-04
2,  10, ON , 1.00e-02, 1.000000e+01, 4.985601e-31, 1.00, 6.73e-04
2, 100, OFF, 1.00e+00, 9.999999e+01, 2.286146e-12, 0.66, 1.77e+00
2, 100, OFF, 1.00e-01, 9.999999e+01, 5.579622e-12, 0.99, 1.77e+00
2, 100, OFF, 1.00e-02, 9.999999e+01, 1.711425e-11, 1.00, 1.83e+00
2, 100, ON , 1.00e+00, 1.000000e+02, 1.219566e-28, 0.66, 3.90e-02
2, 100, ON , 1.00e-01, 1.000000e+02, 1.699800e-28, 0.99, 3.55e-02
