Dims, Number of particles, Analytic, Energy, Variance, Acceptance rate, Time spent
1,   1, OFF, 4.999999e-01, 2.468504e-15, 0.82, 6.00e-05
1,   1, ON , 5.000000e-01, 0.000000e+00, 0.82, 4.80e-05
1,  10, OFF, 5.000000e+00, 1.110006e-13, 0.88, 2.34e-03
1,  10, ON , 5.000000e+00, 9.624103e-32, 0.88, 5.34e-04
1, 100, OFF, 5.000000e+01, 2.618902e-12, 0.87, 7.66e-01
1, 100, ON , 5.000000e+01, 4.143476e-29, 0.87, 3.15e-02
1, 500, OFF, 2.500000e+02, 4.534363e-11, 0.86, 8.73e+01
1, 500, ON , 2.500000e+02, 4.204242e-27, 0.86, 7.74e-01
2,   1, OFF, 9.999999e-01, 9.514142e-15, 0.81, 5.30e-05
2,   1, ON , 1.000000e+00, 0.000000e+00, 0.81, 3.50e-05
2,  10, OFF, 9.999999e+00, 2.095685e-13, 0.79, 3.19e-03
2,  10, ON , 1.000000e+01, 2.871454e-31, 0.79, 4.58e-04
2, 100, OFF, 9.999999e+01, 9.343919e-12, 0.80, 1.77e+00
2, 100, ON , 1.000000e+02, 2.646736e-28, 0.80, 3.58e-02
2, 500, OFF, 5.000000e+02, 2.731972e-10, 0.79, 2.05e+02
2, 500, ON , 5.000000e+02, 1.681820e-26, 0.79, 8.89e-01
3,   1, OFF, 1.500000e+00, 1.925760e-14, 0.68, 6.10e-05
3,   1, ON , 1.500000e+00, 0.000000e+00, 0.68, 3.60e-05
3,  10, OFF, 1.500000e+01, 7.509506e-13, 0.73, 5.09e-03
3,  10, ON , 1.500000e+01, 1.072851e-30, 0.73, 5.42e-04
3, 100, OFF, 1.500000e+02, 1.686698e-11, 0.74, 3.02e+00
3, 100, ON , 1.500000e+02, 5.333861e-28, 0.74, 4.19e-02
3, 500, OFF, 7.499999e+02, 8.238718e-10, 0.74, 3.57e+02
3, 500, ON , 7.500000e+02, 4.322122e-26, 0.74, 1.03e+00
