This is the output from trying to use gradient decent to optimize the value of 
alpha for the N=10 system. The run was terminated at 78 iterations, as the value
had stabilized.

./optimize.x 0 3 10 0.55 2.82843 2.82843 0.0043 0.5 0.001 10000 0.00000001
Wavefunciton(alpha=0.55, beta=2.82843, a=0.0043)
Hamiltonian(omega_z=2.82843, a=0.0043)
Sampler(step=0.5)
System(Boson(-0.0711851, -0.0497787, 0.0946917), Boson(0.0298678, 0.0372256, -0.146155), Boson(-0.235669, 0.0944622, -0.0153283), Boson(-0.146424, -0.248034, -0.243485), Boson(-0.0397888, 0.0580957, 0.197442), Boson(-0.044682, -0.119616, -0.236636), Boson(-0.196029, -0.066658, -0.248057), Boson(0.220046, 0.095638, 0.209333), Boson(-0.0401338, 0.152048, 0.0493155), Boson(-0.248276, -0.00584108, 0.191102))
Alpha guess: 0.55, Learning rate: 0.001, Cycles per iteration: 10000, Max iterations: 10000, Minimum gradient: 1e-08
Iteration 1: alpha=0.5460067549, E=24.4479773463, var=0.4721378135, dE=3.9932450712, lr=0.001
Iteration 2: alpha=0.5428460824, E=24.3228332441, var=0.3568681345, dE=3.1606724998, lr=0.001
Iteration 3: alpha=0.5400412917, E=24.6437626440, var=0.2466892496, dE=2.8047907397, lr=0.001
Iteration 4: alpha=0.5357651353, E=24.3669106447, var=0.4022483339, dE=4.2761563939, lr=0.001
Iteration 5: alpha=0.5326489880, E=24.6039600895, var=0.2503599119, dE=3.1161472564, lr=0.001
Iteration 6: alpha=0.5299794821, E=24.4647120533, var=0.2012784137, dE=2.6695059536, lr=0.001
Iteration 7: alpha=0.5266878595, E=24.3080176612, var=0.2040905784, dE=3.2916225618, lr=0.001
Iteration 8: alpha=0.5243271333, E=24.3753773178, var=0.1360758860, dE=2.3607261754, lr=0.001
Iteration 9: alpha=0.5221600907, E=24.4412131809, var=0.1214203097, dE=2.1670426262, lr=0.001
Iteration 10: alpha=0.5193681736, E=24.4952936059, var=0.1226978650, dE=2.7919170760, lr=0.001
Iteration 11: alpha=0.5179280117, E=24.3867489032, var=0.0669703600, dE=1.4401619827, lr=0.001
Iteration 12: alpha=0.5160261458, E=24.3644240502, var=0.0743905904, dE=1.9018658621, lr=0.001
Iteration 13: alpha=0.5147149594, E=24.4753990912, var=0.0507001455, dE=1.3111863865, lr=0.001
Iteration 14: alpha=0.5131344049, E=24.3815301834, var=0.0575933039, dE=1.5805545636, lr=0.001
Iteration 15: alpha=0.5121277513, E=24.3734606538, var=0.0328782431, dE=1.0066535606, lr=0.001
Iteration 16: alpha=0.5106276120, E=24.3527909687, var=0.0443626042, dE=1.5001392641, lr=0.001
Iteration 17: alpha=0.5096684643, E=24.4384653979, var=0.0260744515, dE=0.9591476885, lr=0.001
Iteration 18: alpha=0.5082326802, E=24.3655903092, var=0.0329404134, dE=1.4357841231, lr=0.001
Iteration 19: alpha=0.5070923010, E=24.4013236144, var=0.0206214706, dE=1.1403792155, lr=0.001
Iteration 20: alpha=0.5062308682, E=24.4054084592, var=0.0159686883, dE=0.8614327962, lr=0.001
