Dims, Number of particles, Use analytic expressions, Energy, Energy^2, Variance, alpha, beta, acceptance rate, time(ms)
1,   1,  ON, 5.000000e-01, 2.500000e-01, 0.000000e+00, 5.000000e-01, 1.000000e+00, 0.820, 0
1,   1, OFF, 5.000000e-01, 2.500000e-01, 6.050715e-15, 5.000000e-01, 1.000000e+00, 0.900, 0
1,  10,  ON, 5.000000e+00, 2.500000e+01, 0.000000e+00, 5.000000e-01, 1.000000e+00, 0.869, 0
1,  10, OFF, 5.000000e+00, 2.500000e+01, 1.811884e-13, 5.000000e-01, 1.000000e+00, 0.885, 2
1, 100,  ON, 5.000000e+01, 2.500000e+03, 0.000000e+00, 5.000000e-01, 1.000000e+00, 0.868, 22
1, 100, OFF, 5.000000e+01, 2.500000e+03, -1.818989e-12, 5.000000e-01, 1.000000e+00, 0.865, 748
1, 500,  ON, 2.500000e+02, 6.250000e+04, 0.000000e+00, 5.000000e-01, 1.000000e+00, 0.863, 394
2,   1,  ON, 1.000000e+00, 1.000000e+00, 0.000000e+00, 5.000000e-01, 1.000000e+00, 0.810, 0
2,   1, OFF, 9.999999e-01, 9.999998e-01, 1.509903e-14, 5.000000e-01, 1.000000e+00, 0.800, 0
2,  10,  ON, 1.000000e+01, 1.000000e+02, 0.000000e+00, 5.000000e-01, 1.000000e+00, 0.802, 0
2,  10, OFF, 9.999999e+00, 9.999999e+01, 3.979039e-13, 5.000000e-01, 1.000000e+00, 0.780, 2
2, 100,  ON, 1.000000e+02, 1.000000e+04, 0.000000e+00, 5.000000e-01, 1.000000e+00, 0.788, 18
2, 100, OFF, 9.999999e+01, 9.999998e+03, -1.818989e-12, 5.000000e-01, 1.000000e+00, 0.800, 931
2, 500,  ON, 5.000000e+02, 2.500000e+05, 0.000000e+00, 5.000000e-01, 1.000000e+00, 0.794, 441
3,   1,  ON, 1.500000e+00, 2.250000e+00, 0.000000e+00, 5.000000e-01, 1.000000e+00, 0.790, 0
3,   1, OFF, 1.500000e+00, 2.250000e+00, 2.886580e-14, 5.000000e-01, 1.000000e+00, 0.800, 0
3,  10,  ON, 1.500000e+01, 2.250000e+02, 0.000000e+00, 5.000000e-01, 1.000000e+00, 0.742, 0
3,  10, OFF, 1.500000e+01, 2.250000e+02, 2.273737e-13, 5.000000e-01, 1.000000e+00, 0.756, 3
3, 100,  ON, 1.500000e+02, 2.250000e+04, 0.000000e+00, 5.000000e-01, 1.000000e+00, 0.738, 20
3, 100, OFF, 1.500000e+02, 2.250000e+04, -1.091394e-10, 5.000000e-01, 1.000000e+00, 0.733, 1575
3, 500,  ON, 7.500000e+02, 5.625000e+05, 0.000000e+00, 5.000000e-01, 1.000000e+00, 0.732, 509
