Dims, Number of particles, Use analytic expressions, time step, Energy, Energy^2, Variance, alpha, beta, acceptance rate, time(ms)
1,   1,  ON, 1.000000e-02, 5.000000e-01, 2.500000e-01, 0.000000e+00, 5.000000e-01, 1.000000e+00, 1.000, 0
1,   1,  ON, 1.000000e-03, 5.000000e-01, 2.500000e-01, 0.000000e+00, 5.000000e-01, 1.000000e+00, 1.000, 0
1,   1,  ON, 1.000000e-04, 5.000000e-01, 2.500000e-01, 0.000000e+00, 5.000000e-01, 1.000000e+00, 1.000, 0
1,   1, OFF, 1.000000e-02, 4.999999e-01, 2.499999e-01, 2.220446e-16, 5.000000e-01, 1.000000e+00, 1.000, 0
1,   1, OFF, 1.000000e-03, 4.999999e-01, 2.499999e-01, 1.665335e-16, 5.000000e-01, 1.000000e+00, 1.000, 0
1,   1, OFF, 1.000000e-04, 4.999999e-01, 2.499999e-01, 1.387779e-16, 5.000000e-01, 1.000000e+00, 1.000, 0
1,  10,  ON, 1.000000e-02, 5.000000e+00, 2.500000e+01, 0.000000e+00, 5.000000e-01, 1.000000e+00, 1.000, 0
1,  10,  ON, 1.000000e-03, 5.000000e+00, 2.500000e+01, 0.000000e+00, 5.000000e-01, 1.000000e+00, 0.999, 0
1,  10,  ON, 1.000000e-04, 5.000000e+00, 2.500000e+01, 0.000000e+00, 5.000000e-01, 1.000000e+00, 1.000, 0
1,  10, OFF, 1.000000e-02, 4.999999e+00, 2.499999e+01, 8.171241e-14, 5.000000e-01, 1.000000e+00, 0.999, 1
1,  10, OFF, 1.000000e-03, 4.999999e+00, 2.499999e+01, -3.197442e-14, 5.000000e-01, 1.000000e+00, 1.000, 1
1,  10, OFF, 1.000000e-04, 4.999999e+00, 2.499999e+01, 6.039613e-14, 5.000000e-01, 1.000000e+00, 1.000, 2
1, 100,  ON, 1.000000e-02, 5.000000e+01, 2.500000e+03, 0.000000e+00, 5.000000e-01, 1.000000e+00, 1.000, 23
1, 100,  ON, 1.000000e-03, 5.000000e+01, 2.500000e+03, 0.000000e+00, 5.000000e-01, 1.000000e+00, 1.000, 19
1, 100,  ON, 1.000000e-04, 5.000000e+01, 2.500000e+03, 0.000000e+00, 5.000000e-01, 1.000000e+00, 1.000, 19
1, 100, OFF, 1.000000e-02, 4.999999e+01, 2.499999e+03, 1.455192e-11, 5.000000e-01, 1.000000e+00, 1.000, 444
1, 100, OFF, 1.000000e-03, 4.999999e+01, 2.499999e+03, 3.183231e-12, 5.000000e-01, 1.000000e+00, 1.000, 438
1, 100, OFF, 1.000000e-04, 4.999999e+01, 2.499999e+03, -2.364686e-11, 5.000000e-01, 1.000000e+00, 1.000, 442
1, 500,  ON, 1.000000e-02, 2.500000e+02, 6.250000e+04, 0.000000e+00, 5.000000e-01, 1.000000e+00, 1.000, 376
1, 500,  ON, 1.000000e-03, 2.500000e+02, 6.250000e+04, 0.000000e+00, 5.000000e-01, 1.000000e+00, 1.000, 371
1, 500,  ON, 1.000000e-04, 2.500000e+02, 6.250000e+04, 0.000000e+00, 5.000000e-01, 1.000000e+00, 1.000, 372
2,   1,  ON, 1.000000e-02, 1.000000e+00, 1.000000e+00, 0.000000e+00, 5.000000e-01, 1.000000e+00, 1.000, 0
2,   1,  ON, 1.000000e-03, 1.000000e+00, 1.000000e+00, 0.000000e+00, 5.000000e-01, 1.000000e+00, 1.000, 0
2,   1,  ON, 1.000000e-04, 1.000000e+00, 1.000000e+00, 0.000000e+00, 5.000000e-01, 1.000000e+00, 1.000, 0
2,   1, OFF, 1.000000e-02, 9.999999e-01, 9.999997e-01, 7.216450e-15, 5.000000e-01, 1.000000e+00, 1.000, 0
2,   1, OFF, 1.000000e-03, 9.999998e-01, 9.999995e-01, 9.992007e-16, 5.000000e-01, 1.000000e+00, 1.000, 0
2,   1, OFF, 1.000000e-04, 9.999998e-01, 9.999995e-01, 4.440892e-16, 5.000000e-01, 1.000000e+00, 1.000, 0
2,  10,  ON, 1.000000e-02, 1.000000e+01, 1.000000e+02, 0.000000e+00, 5.000000e-01, 1.000000e+00, 1.000, 0
2,  10,  ON, 1.000000e-03, 1.000000e+01, 1.000000e+02, 0.000000e+00, 5.000000e-01, 1.000000e+00, 1.000, 0
2,  10,  ON, 1.000000e-04, 1.000000e+01, 1.000000e+02, 0.000000e+00, 5.000000e-01, 1.000000e+00, 1.000, 0
2,  10, OFF, 1.000000e-02, 9.999999e+00, 9.999998e+01, 4.547474e-13, 5.000000e-01, 1.000000e+00, 1.000, 2
2,  10, OFF, 1.000000e-03, 9.999998e+00, 9.999995e+01, -5.684342e-14, 5.000000e-01, 1.000000e+00, 1.000, 2
2,  10, OFF, 1.000000e-04, 9.999998e+00, 9.999995e+01, -2.273737e-13, 5.000000e-01, 1.000000e+00, 1.000, 2
2, 100,  ON, 1.000000e-02, 1.000000e+02, 1.000000e+04, 0.000000e+00, 5.000000e-01, 1.000000e+00, 1.000, 19
2, 100,  ON, 1.000000e-03, 1.000000e+02, 1.000000e+04, 0.000000e+00, 5.000000e-01, 1.000000e+00, 1.000, 19
2, 100,  ON, 1.000000e-04, 1.000000e+02, 1.000000e+04, 0.000000e+00, 5.000000e-01, 1.000000e+00, 1.000, 20
2, 100, OFF, 1.000000e-02, 9.999999e+01, 9.999997e+03, 4.911271e-11, 5.000000e-01, 1.000000e+00, 1.000, 933
2, 100, OFF, 1.000000e-03, 9.999998e+01, 9.999995e+03, 1.818989e-12, 5.000000e-01, 1.000000e+00, 1.000, 924
2, 100, OFF, 1.000000e-04, 9.999998e+01, 9.999995e+03, -2.546585e-11, 5.000000e-01, 1.000000e+00, 1.000, 937
2, 500,  ON, 1.000000e-02, 5.000000e+02, 2.500000e+05, 0.000000e+00, 5.000000e-01, 1.000000e+00, 1.000, 416
