Dims, Nparticles, Analytic, step, Energy, Variance, Acceptance, Time
1,   1, OFF , 1.000, 0.500000, 0.000000, 0.866, 5.960e-04
1,   1, OFF , 0.100, 0.500000, 0.000000, 0.995, 5.400e-04
1,   1, ON  , 1.000, 0.500000, 0.000000, 0.866, 3.890e-04
1,   1, ON  , 0.100, 0.500000, 0.000000, 0.995, 2.920e-04
1,  10, OFF , 1.000, 5.000000, 0.000000, 0.876, 9.675e-03
1,  10, OFF , 0.100, 4.999999, 0.000000, 0.997, 9.434e-03
1,  10, ON  , 1.000, 5.000000, 0.000000, 0.876, 1.353e-03
1,  10, ON  , 0.100, 5.000000, 0.000000, 0.997, 1.352e-03
1, 100, OFF , 1.000, 49.999990, 0.000000, 0.000, 5.754e-01
1, 100, OFF , 0.100, 49.999988, 0.000000, 0.999, 5.495e-01
1, 100, ON  , 1.000, 50.000000, 0.000000, 0.000, 9.845e-03
1, 100, ON  , 0.100, 50.000000, 0.000000, 0.999, 9.606e-03
1, 500, OFF , 1.000, 249.999947, 0.000000, 0.000, 1.350e+01
1, 500, OFF , 0.100, 249.999938, 0.000000, 0.999, 1.336e+01
1, 500, ON  , 1.000, 250.000000, 0.000000, 0.000, 4.214e-02
1, 500, ON  , 0.100, 250.000000, 0.000000, 0.999, 4.125e-02
2,   1, OFF , 1.000, 1.000000, 0.000000, 0.799, 5.180e-04
2,   1, OFF , 0.100, 1.000000, 0.000000, 0.984, 5.190e-04
2,   1, ON  , 1.000, 1.000000, 0.000000, 0.799, 2.420e-04
2,   1, ON  , 0.100, 1.000000, 0.000000, 0.984, 2.470e-04
2,  10, OFF , 1.000, 9.999999, 0.000000, 0.801, 1.436e-02
2,  10, OFF , 0.100, 9.999998, 0.000000, 0.994, 1.360e-02
2,  10, ON  , 1.000, 10.000000, 0.000000, 0.801, 1.091e-03
2,  10, ON  , 0.100, 10.000000, 0.000000, 0.994, 1.147e-03
2, 100, OFF , 1.000, 99.999979, 0.000000, 0.000, 1.123e+00
2, 100, OFF , 0.100, 99.999975, 0.000000, 0.994, 1.110e+00
2, 100, ON  , 1.000, 100.000000, 0.000000, 0.000, 8.919e-03
2, 100, ON  , 0.100, 100.000000, 0.000000, 0.994, 8.794e-03
2, 500, OFF , 1.000, 499.999897, 0.000000, 0.000, 2.758e+01
2, 500, OFF , 0.100, 499.999875, 0.000000, 0.993, 2.730e+01
2, 500, ON  , 1.000, 500.000000, 0.000000, 0.000, 4.287e-02
2, 500, ON  , 0.100, 500.000000, 0.000000, 0.993, 4.292e-02
3,   1, OFF , 1.000, 1.500000, 0.000000, 0.715, 5.070e-04
3,   1, OFF , 0.100, 1.500000, 0.000000, 0.983, 5.090e-04
3,   1, ON  , 1.000, 1.500000, 0.000000, 0.715, 2.480e-04
3,   1, ON  , 0.100, 1.500000, 0.000000, 0.983, 2.460e-04
3,  10, OFF , 1.000, 14.999999, 0.000000, 0.727, 5.873e-03
3,  10, OFF , 0.100, 14.999997, 0.000000, 0.994, 5.730e-03
3,  10, ON  , 1.000, 15.000000, 0.000000, 0.727, 9.090e-04
3,  10, ON  , 0.100, 15.000000, 0.000000, 0.994, 9.500e-04
3, 100, OFF , 1.000, 149.999969, 0.000000, 0.000, 3.194e-01
3, 100, OFF , 0.100, 149.999963, 0.000000, 0.996, 3.189e-01
3, 100, ON  , 1.000, 150.000000, 0.000000, 0.000, 6.856e-03
3, 100, ON  , 0.100, 150.000000, 0.000000, 0.996, 7.036e-03
3, 500, OFF , 1.000, 749.999845, 0.000000, 0.000, 7.310e+00
3, 500, OFF , 0.100, 749.999813, 0.000000, 0.994, 7.556e+00
3, 500, ON  , 1.000, 750.000000, 0.000000, 0.000, 3.251e-02
3, 500, ON  , 0.100, 750.000000, 0.000000, 0.994, 3.339e-02
