Dims, Nparticles, Analytic, step, Energy, Variance, Acceptance, Time
1,   1, OFF , 0.100, 0.500000, 0.000000, 0.990, 4.930e-04
1,   1, OFF , 0.010, 0.500000, 0.000000, 1.000, 4.860e-04
1,   1, OFF , 0.001, 0.500000, 0.000000, 1.000, 4.870e-04
1,   1, ON  , 0.100, 0.500000, 0.000000, 0.990, 3.450e-04
1,   1, ON  , 0.010, 0.500000, 0.000000, 1.000, 3.490e-04
1,   1, ON  , 0.001, 0.500000, 0.000000, 1.000, 3.610e-04
1,  10, OFF , 0.100, 5.000000, 0.000000, 0.988, 8.216e-03
1,  10, OFF , 0.010, 4.999999, 0.000000, 1.000, 7.941e-03
1,  10, OFF , 0.001, 4.999999, 0.000000, 1.000, 7.956e-03
1,  10, ON  , 0.100, 5.000000, 0.000000, 0.988, 1.208e-03
1,  10, ON  , 0.010, 5.000000, 0.000000, 1.000, 1.209e-03
1,  10, ON  , 0.001, 5.000000, 0.000000, 1.000, 1.267e-03
1, 100, OFF , 0.100, 49.999990, 0.000000, 0.000, 5.483e-01
1, 100, OFF , 0.010, 49.999989, 0.000000, 1.000, 5.825e-01
1, 100, OFF , 0.001, 49.999988, 0.000000, 1.000, 5.948e-01
1, 100, ON  , 0.100, 50.000000, 0.000000, 0.000, 9.673e-03
1, 100, ON  , 0.010, 50.000000, 0.000000, 1.000, 9.363e-03
1, 100, ON  , 0.001, 50.000000, 0.000000, 1.000, 9.317e-03
1, 500, OFF , 0.100, 249.999948, 0.000000, 0.000, 1.365e+01
1, 500, OFF , 0.010, 249.999940, 0.000000, 0.931, 1.342e+01
1, 500, OFF , 0.001, 249.999938, 0.000000, 0.999, 1.349e+01
1, 500, ON  , 0.100, 250.000000, 0.000000, 0.000, 4.214e-02
1, 500, ON  , 0.010, 250.000000, 0.000000, 0.931, 4.187e-02
1, 500, ON  , 0.001, 250.000000, 0.000000, 0.999, 4.379e-02
2,   1, OFF , 0.100, 1.000000, 0.000000, 0.992, 6.690e-04
2,   1, OFF , 0.010, 1.000000, 0.000000, 1.000, 6.750e-04
2,   1, OFF , 0.001, 1.000000, 0.000000, 1.000, 7.910e-04
